노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
1150,외국어대학교 - 한국외대종점,8,모현초등학교,0,0,0,17,22,0,0,0,0,0,50,71,43,35,0,22,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,9,매산사거리,0,0,30,26,26,0,14,0,22,9,0,11,0,17,26,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,10,문형2통.오포하수처리장,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,11,문형삼거리,0,7,31,37,15,14,15,0,39,0,48,0,24,45,0,0,21,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,12,문형2통.영진빌라,0,9,36,35,28,12,13,0,0,0,46,0,0,48,30,15,0,22,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,13,문형동잣나무골,0,9,28,41,13,19,0,19,0,0,46,0,28,0,33,0,14,24,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,14,문형4통.수렁개,0,11,40,43,30,24,21,21,24,13,43,74,0,50,33,20,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,15,문형3통.되치미,0,13,45,14,0,17,0,11,0,0,41,13,0,48,35,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,16,동서울공업사.시안정문,0,13,0,39,0,26,24,0,0,17,28,76,30,54,39,0,0,36,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,17,오포장례식장.주성엔지니어링,0,0,0,0,12,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,18,시안.엘리시움,0,0,0,0,0,29,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,19,인성가스충전소,0,20,60,63,33,33,20,19,24,0,0,46,33,52,41,26,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,20,능평리회전교차로,0,26,67,65,35,38,0,0,0,0,0,46,0,59,26,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,21,능골삼거리,0,28,71,79,43,45,22,29,29,41,26,81,35,57,39,28,13,17,38,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,22,오포베르빌아파트,0,30,43,83,50,48,24,31,48,43,28,83,0,48,0,28,0,0,26,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,23,창뜰마을입구.한토이,0,0,50,88,52,50,0,31,0,0,26,52,15,50,0,17,0,26,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,24,능평동복합문화시설,0,37,60,98,62,52,26,0,30,0,0,33,0,50,0,24,19,28,28,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,25,수레실.오포롯데캐슬,0,46,64,93,90,33,69,40,50,39,28,61,0,59,28,26,21,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,26,용상골현대아파트,0,52,71,98,98,41,71,45,52,0,29,86,0,0,57,24,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,27,능평119안전센터,0,61,83,88,95,46,76,48,57,37,33,90,26,55,59,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,28,광명초등학교,0,67,86,98,98,43,39,17,0,39,0,61,0,57,0,0,19,0,43,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,29,신현동행정복지센터,0,74,95,59,98,50,74,52,59,39,15,93,22,48,59,35,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,30,현대모닝사이드1차아파트.새마을입구.신현리,0,80,85,74,78,59,79,62,61,46,36,67,26,46,61,39,0,30,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,31,율동공원라폴리움,0,0,80,0,95,0,76,0,0,48,0,0,0,60,0,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,32,태재고개,0,98,93,95,93,63,86,67,65,41,40,72,43,62,63,37,21,30,13,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,33,건영빌라.분당요한성당.장안중학교,0,57,96,98,93,65,88,69,43,50,45,90,28,64,65,41,24,0,40,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,34,율동공원,0,0,96,98,76,70,0,74,38,52,50,80,45,62,67,0,0,0,33,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,35,장안타운입구.한신빌라,0,0,0,98,91,78,90,81,46,57,52,93,0,67,0,30,26,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,36,임광아파트정문.효자촌입구.분당중앙교회,0,0,61,98,93,76,0,74,67,52,52,95,0,69,70,24,0,15,0,24,0,0,0,0,
1150,외국어대학교 - 한국외대종점,37,서현중학교,0,91,98,98,89,74,86,83,0,52,26,98,36,62,67,35,15,15,11,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,38,양현보도육교,0,87,67,98,87,74,88,69,57,46,0,95,45,50,65,33,0,24,28,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,39,이매촌한신.서현역.AK프라자,0,72,91,98,81,89,90,83,52,59,55,90,93,41,52,35,24,22,37,13,0,0,0,0,
1150,외국어대학교 - 한국외대종점,40,성남역.백현마을2단지,0,70,67,98,83,85,93,86,70,50,50,0,43,48,48,24,11,0,29,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,41,백현마을1단지,0,67,89,98,86,83,0,0,0,59,0,39,0,0,45,26,0,26,24,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,42,판교역.낙생육교.현대백화점,0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,43,판교TG(미정차),0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,44,금토JC(미정차),0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,45,서울진입(미정차),0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,46,청계산입구역(미정차),0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,47,양재IC(미정차),0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,48,서초IC(미정차),0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,49,반포IC(미정차),0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,50,한남IC(미정차),0,52,89,98,90,72,90,62,88,65,52,43,88,67,78,52,31,19,43,9,0,0,0,0,
1150,외국어대학교 - 한국외대종점,51,순천향대학병원,0,0,57,90,87,59,79,48,67,52,48,38,69,36,65,37,30,13,26,4,0,0,0,0,
1150,외국어대학교 - 한국외대종점,52,한남1고가차도(미정차),0,0,57,90,87,59,79,48,67,52,48,38,69,36,65,37,30,13,26,4,0,0,0,0,
1150,외국어대학교 - 한국외대종점,53,남산1호터널TG(미정차),0,0,57,90,87,59,79,48,67,52,48,38,69,36,65,37,30,13,26,4,0,0,0,0,
1150,외국어대학교 - 한국외대종점,54,남대문세무서.국가인권위원회,0,0,30,79,55,37,35,48,43,36,41,30,55,20,33,46,21,19,20,4,0,0,0,0,
1150,외국어대학교 - 한국외대종점,55,종로2가사거리(중),0,0,22,43,38,28,22,17,21,17,26,24,33,40,24,24,19,11,17,4,0,0,0,0,
1150,외국어대학교 - 한국외대종점,56,을지로입구역.광교,0,0,20,29,26,15,17,14,19,14,13,20,29,38,35,22,14,7,19,7,0,0,0,0,
1150,외국어대학교 - 한국외대종점,57,북창동.남대문시장,0,0,17,14,19,7,17,17,12,11,13,17,22,45,41,28,17,26,11,2,0,0,0,0,
1150,외국어대학교 - 한국외대종점,58,숭례문(미정차),0,0,17,14,19,7,17,17,12,11,13,17,22,45,41,28,17,26,11,2,0,0,0,0,
1150,외국어대학교 - 한국외대종점,59,서울역버스환승센터(5번승강장)(중),0,0,13,21,22,9,15,24,9,7,11,15,26,71,46,28,17,31,33,15,0,0,0,0,
1150,외국어대학교 - 한국외대종점,60,서울역교차로(미정차),0,0,13,21,22,9,15,24,9,7,11,15,26,71,46,28,17,31,33,15,0,0,0,0,
1150,외국어대학교 - 한국외대종점,61,숭례문,0,0,0,26,33,11,13,26,13,11,13,17,28,76,54,41,22,35,36,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,62,숭례문교차로(미정차),0,0,0,26,33,11,13,26,13,11,13,17,28,76,54,41,22,35,36,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,63,남대문로3가(미정차),0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,64,명동입구,0,0,15,38,43,19,17,29,15,17,24,28,39,93,74,59,30,54,45,26,0,0,0,0,
1150,외국어대학교 - 한국외대종점,65,남대문세무서(중),0,0,22,71,13,52,24,45,17,22,30,62,65,98,93,61,48,69,67,30,0,0,0,0,
